City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,bulalacao,19,PH,1586914664,70,12.33,121.34,83.73,7.27
89,buriti alegre,100,BR,1586914720,75,-18.14,-49.04,67.41,3.98
90,busselton,17,AU,1586914689,45,-33.65,115.33,69.01,16.2
91,butaritari,76,KI,1586914654,79,3.07,172.79,83.73,15.73
92,byron bay,9,AU,1586914719,53,-28.65,153.62,78.01,5.82
93,cabo san lucas,5,MX,1586914655,31,22.89,-109.91,77.0,5.82
94,cabrobo,92,BR,1586914686,69,-8.51,-39.31,75.61,6.69
95,camacha,40,PT,1586914677,67,33.08,-16.33,62.6,17.22
96,cananea,35,MX,1586914678,27,30.95,-110.3,64.99,1.99
97,canatlan,5,MX,1586914683,4,24.52,-104.78,80.6,20.8
98,canto do buriti,99,BR,1586914716,89,-8.11,-42.94,71.06,4.09
99,cap malheureux,75,MU,1586914699,74,-19.98,57.61,78.8,16.11
100,capanema,100,BR,1586914695,97,-1.2,-47.18,70.95,2.53
101,cape town,100,ZA,1586914460,87,-33.93,18.42,60.01,8.05
102,caravelas,8,BR,1586914706,87,-17.71,-39.25,75.9,4.5
103,carhuaz,32,PE,1586914713,32,-9.28,-77.64,51.44,2.82
104,carnarvon,37,AU,1586914693,57,-24.87,113.63,75.2,27.51
105,castro,0,BR,1586914686,65,-24.79,-50.01,52.66,2.93
106,chaibasa,40,IN,1586914662,88,22.57,85.82,82.4,6.55
107,chapais,20,CA,1586914652,68,49.78,-74.85,24.8,8.05
108,charters towers,0,AU,1586914713,38,-20.1,146.27,83.46,10.87
109,chegutu,38,ZW,1586914704,60,-18.13,30.14,62.71,3.4
110,cherskiy,100,RU,1586914662,94,68.75,161.3,9.03,9.91
111,chicama,21,PE,1586914691,69,-7.84,-79.15,74.86,5.41
112,chimbote,6,PE,1586914656,80,-9.09,-78.58,71.87,6.08
113,chirongui,8,YT,1586914702,78,-12.93,45.15,82.4,9.17
114,choix,70,MX,1586914655,25,26.71,-108.32,74.08,3.74
115,chokurdakh,0,RU,1586914661,90,70.63,147.92,-0.72,8.01
116,chuy,100,UY,1586914703,77,-33.7,-53.46,59.65,25.93
117,cidreira,42,BR,1586914696,73,-30.18,-50.21,61.21,20.65
118,claresholm,90,CA,1586914681,49,50.03,-113.59,46.4,11.41
119,clarksburg,90,US,1586914415,80,39.28,-80.34,36.0,4.7
120,clyde river,1,CA,1586914654,91,70.47,-68.59,-0.4,3.36
121,codrington,100,AU,1586914666,37,-38.27,141.97,71.8,17.52
122,coihaique,100,CL,1586914705,87,-45.58,-72.07,48.2,4.7
123,college,75,US,1586914652,34,64.86,-147.8,51.8,0.56
124,compiegne,20,FR,1586914672,60,49.42,2.83,44.01,11.41
125,constitucion,11,CL,1586914711,69,-35.33,-72.42,52.72,6.73
126,copiapo,90,CL,1586914442,82,-27.37,-70.33,60.8,3.36
127,coquimbo,90,CL,1586914693,82,-29.95,-71.34,59.0,3.36
128,damphu,0,BT,1586914659,20,27.07,90.11,83.25,2.04
129,danbury,90,US,1586914664,39,41.39,-73.45,52.0,5.73
130,dawei,88,MM,1586914675,51,14.08,98.2,89.8,3.27
131,deniliquin,99,AU,1586914714,40,-35.53,144.97,75.99,7.0
132,deputatskiy,100,RU,1586914655,87,69.3,139.9,0.39,5.1
133,devils lake,90,US,1586914667,58,48.11,-98.87,24.8,6.93
134,dikson,40,RU,1586914653,92,73.51,80.55,7.92,8.86
135,diplo,92,PK,1586914659,56,24.47,69.58,82.99,15.12
136,disna,100,BY,1586914669,87,55.57,28.2,32.52,11.95
137,dmitriyevskoye,98,RU,1586914673,53,45.81,41.9,50.5,5.91
138,dunedin,100,NZ,1586914697,70,-45.87,170.5,52.0,1.01
139,east london,97,ZA,1586914691,72,-33.02,27.91,64.9,8.19
140,edd,93,ER,1586914682,70,13.93,41.69,80.22,5.01
141,eenhana,0,NA,1586914704,46,-17.47,16.33,67.15,2.3
142,el alto,2,PE,1586914703,75,-4.27,-81.21,72.46,2.01
143,el playon,34,CO,1586914679,62,7.47,-73.2,73.09,5.19
144,el rosario,20,MX,1586914670,36,24.26,-107.18,80.6,9.17
145,esperance,0,AU,1586914703,52,-33.87,121.9,66.2,20.8
146,etchojoa,75,MX,1586914658,34,26.92,-109.63,78.8,5.82
147,faanui,28,PF,1586914694,65,-16.48,-151.75,83.3,5.77
148,fairlie,49,GB,1586914721,86,55.76,-4.86,41.0,6.93
149,farah,0,AF,1586914681,49,32.5,62.5,52.34,3.69
150,fare,27,PF,1586914692,63,-16.7,-151.02,84.04,2.89
151,faya,20,SA,1586914657,82,18.39,42.45,62.6,8.05
152,fernandopolis,67,BR,1586914694,81,-20.28,-50.25,68.07,1.23
153,filingue,62,NE,1586914678,13,14.35,3.32,84.31,6.67
154,flin flon,71,CA,1586914660,93,54.77,-101.86,14.95,4.45
155,flinders,74,AU,1586914694,34,-34.58,150.86,78.8,8.05
156,fomboni,2,KM,1586914710,73,-12.28,43.74,82.9,5.3
157,fort nelson,90,CA,1586914663,74,58.81,-122.7,44.6,9.17
158,fortuna,20,US,1586914653,54,40.6,-124.16,60.8,14.99
159,fougamou,100,GA,1586914711,92,-1.22,10.58,75.42,1.32
160,galesong,20,ID,1586914625,79,-5.32,119.37,86.0,4.7
161,gamba,92,GA,1586914702,88,-2.65,10.0,79.23,4.59
162,gangarampur,5,IN,1586914681,40,25.4,88.52,92.21,4.41
163,genhe,3,CN,1586914672,30,50.78,121.52,50.77,5.59
164,georgetown,20,MY,1586914689,83,5.41,100.34,86.0,2.91
165,geraldton,75,AU,1586914686,56,-28.77,114.6,71.6,19.46
166,giulvaz,0,RO,1586914664,83,45.55,20.98,39.99,8.05
167,gladstone,75,AU,1586914720,47,-23.85,151.25,80.6,19.46
168,goianesia,75,BR,1586914707,76,-15.32,-49.12,69.39,2.8
169,goleta,20,TN,1586914669,82,36.82,10.3,60.8,5.82
170,goma,65,CD,1586914721,50,-1.68,29.22,62.51,0.85
171,gorontalo,79,ID,1586914668,65,0.54,123.06,87.12,1.81
172,grand baie,75,MU,1586914713,74,-20.02,57.58,78.8,16.11
173,grand gaube,75,MU,1586914701,74,-20.01,57.66,78.8,16.11
174,grants pass,1,US,1586914674,14,42.44,-123.33,73.4,10.29
175,gravdal,59,NO,1586914665,73,68.12,13.5,39.27,15.9
176,grindavik,75,IS,1586914670,86,63.84,-22.43,37.4,21.92
177,guerrero negro,82,MX,1586914671,77,27.98,-114.06,62.51,17.69
178,gwadar,0,PK,1586914678,66,25.12,62.33,80.55,7.05
