City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,canning,90,IN,1587216316,89,22.32,88.67,86.0,19.46
89,cap malheureux,75,MU,1587215992,74,-19.98,57.61,80.6,14.99
90,cape town,26,ZA,1587215971,16,-33.93,18.42,87.8,5.82
91,caravelas,84,BR,1587215996,86,-17.71,-39.25,76.73,20.98
92,carbonia,40,IT,1587216307,73,39.17,8.52,69.8,16.11
93,carnarvon,14,AU,1587216093,94,-24.87,113.63,77.0,12.75
94,carutapera,93,BR,1587216157,83,-1.2,-46.02,79.45,2.71
95,castro,74,BR,1587216178,60,-24.79,-50.01,57.45,6.85
96,catamarca,0,AR,1587216336,38,-28.47,-65.79,72.81,5.41
97,catemaco,90,MX,1587216291,88,18.42,-95.12,78.8,3.27
98,cayenne,90,GF,1587216167,83,4.93,-52.33,80.6,4.7
99,chanute,1,US,1587216089,88,37.68,-95.46,35.6,4.7
100,charters towers,41,AU,1587216018,73,-20.1,146.27,74.97,9.22
101,cherskiy,7,RU,1587216158,88,68.75,161.3,-2.16,7.4
102,chicama,90,PE,1587216182,94,-7.84,-79.15,68.0,8.05
103,chilca,90,PE,1587216346,88,-12.52,-76.74,68.0,4.7
104,chimbote,75,PE,1587215907,85,-9.09,-78.58,69.73,4.76
105,chimore,98,BO,1587216344,65,-16.98,-65.13,69.69,0.54
106,chincha alta,59,PE,1587216326,77,-13.41,-76.13,69.8,6.93
107,chiredzi,34,ZW,1587216344,44,-21.05,31.67,85.28,10.83
108,chokurdakh,0,RU,1587216152,86,70.63,147.92,-12.87,5.55
109,christchurch,31,NZ,1587216086,71,-43.53,172.63,55.0,6.93
110,chuy,1,UY,1587216186,80,-33.7,-53.46,64.15,0.6
111,cidreira,12,BR,1587216180,79,-30.18,-50.21,66.63,1.72
112,cilegon,20,ID,1587216345,78,-6.02,106.05,80.6,5.82
113,clyde river,90,CA,1587215953,85,70.47,-68.59,12.2,12.75
114,cockburn town,41,TC,1587215968,77,21.46,-71.14,78.37,15.28
115,codrington,82,AU,1587216150,73,-38.27,141.97,54.97,5.26
116,coihaique,90,CL,1587215967,93,-45.58,-72.07,48.2,3.36
117,college,90,US,1587216301,93,64.86,-147.8,39.0,2.98
118,collie,100,AU,1587216004,58,-33.37,116.15,63.0,4.0
119,conakry,75,GN,1587216315,66,9.54,-13.68,87.8,9.17
120,connersville,1,US,1587216303,100,39.64,-85.14,36.0,10.29
121,constitucion,85,CL,1587216151,92,-35.33,-72.42,60.66,6.96
122,coquimbo,90,CL,1587215996,100,-29.95,-71.34,55.4,3.36
123,corinto,1,GR,1587216291,43,37.94,22.96,79.0,9.17
124,corner brook,75,CA,1587216316,74,48.97,-57.95,33.8,10.29
125,cururupu,100,BR,1587216116,88,-1.83,-44.87,78.28,1.54
126,dadu,90,PK,1587216299,13,26.73,67.78,101.16,15.17
127,damietta,0,EG,1587216302,73,31.42,31.81,71.6,13.87
128,danville,90,US,1587216123,81,36.59,-79.39,53.6,11.41
129,darhan,100,MN,1587216298,44,49.49,105.92,43.47,13.51
130,darnah,1,LY,1587216310,52,32.77,22.64,66.49,9.4
131,davila,40,PH,1587216187,83,18.47,120.58,82.4,5.82
132,dergaon,90,IN,1587216291,88,26.7,93.97,73.4,3.36
133,derzhavinsk,98,KZ,1587216315,39,51.1,66.32,61.81,14.43
134,diamantina,73,BR,1587216204,65,-18.25,-43.6,65.79,6.17
135,diego de almagro,0,CL,1587216196,27,-26.37,-70.05,67.57,1.21
136,dikson,100,RU,1587216146,91,73.51,80.55,34.65,14.92
137,dobson,75,US,1587216329,81,36.4,-80.72,51.8,5.82
